pid,label,company,_date,decade,commentary,object_type,source,source_name,order,layout,collection,thumbnail,manifest
obj180,Dedicated Disk HP Page 11,Hewlett Packard,1971,70s,,brochure,DedicatedDisc_HP_1971_Page_11,,179,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj180/full/250,/0/default.jpg",/img/derivatives/iiif/obj180/manifest.json
obj19,Bendix G15 Page 9,Bendix,1956,50s,,brochure,Bendix_G15_1956_Page_09,,18,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj19/full/250,/0/default.jpg",/img/derivatives/iiif/obj19/manifest.json
obj181,Dedicated Disk HP Page 12,Hewlett Packard,1971,70s,,brochure,DedicatedDisc_HP_1971_Page_12,,180,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj181/full/250,/0/default.jpg",/img/derivatives/iiif/obj181/manifest.json
obj182,Dedicated Disk HP Page 13,Hewlett Packard,1971,70s,,brochure,DedicatedDisc_HP_1971_Page_13,,181,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj182/full/250,/0/default.jpg",/img/derivatives/iiif/obj182/manifest.json
obj183,Dedicated Disk HP Page 14,Hewlett Packard,1971,70s,,brochure,DedicatedDisc_HP_1971_Page_14,,182,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj183/full/250,/0/default.jpg",/img/derivatives/iiif/obj183/manifest.json
obj184,Dedicated Disk HP Page 15,Hewlett Packard,1971,70s,,brochure,DedicatedDisc_HP_1971_Page_15,,183,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj184/full/250,/0/default.jpg",/img/derivatives/iiif/obj184/manifest.json
obj185,Ferranti Argus Page 1,Ferranti LTD,1961,60s,,brochure,ferranti_argus_1961_Page_01,,184,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj185/full/250,/0/default.jpg",/img/derivatives/iiif/obj185/manifest.json
obj186,Ferranti Argus Page 2,Ferranti LTD,1961,60s,,brochure,ferranti_argus_1961_Page_02,,185,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj186/full/250,/0/default.jpg",/img/derivatives/iiif/obj186/manifest.json
obj187,Ferranti Argus Page 3,Ferranti LTD,1961,60s,,brochure,ferranti_argus_1961_Page_03,,186,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj187/full/250,/0/default.jpg",/img/derivatives/iiif/obj187/manifest.json
obj188,Ferranti Argus Page 4,Ferranti LTD,1961,60s,,brochure,ferranti_argus_1961_Page_04,,187,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj188/full/250,/0/default.jpg",/img/derivatives/iiif/obj188/manifest.json
obj189,Ferranti Argus Page 5,Ferranti LTD,1961,60s,,brochure,ferranti_argus_1961_Page_05,,188,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj189/full/250,/0/default.jpg",/img/derivatives/iiif/obj189/manifest.json
obj190,Ferranti Argus Page 6,Ferranti LTD,1961,60s,,brochure,ferranti_argus_1961_Page_06,,189,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj190/full/250,/0/default.jpg",/img/derivatives/iiif/obj190/manifest.json
obj20,Bendix G15 Page 10,Bendix,1956,50s,,brochure,Bendix_G15_1956_Page_10,,19,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj20/full/250,/0/default.jpg",/img/derivatives/iiif/obj20/manifest.json
obj191,Ferranti Argus Page 7,Ferranti LTD,1961,60s,,brochure,ferranti_argus_1961_Page_07,,190,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj191/full/250,/0/default.jpg",/img/derivatives/iiif/obj191/manifest.json
obj192,Ferranti Argus Page 8,Ferranti LTD,1961,60s,,brochure,ferranti_argus_1961_Page_08,,191,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj192/full/250,/0/default.jpg",/img/derivatives/iiif/obj192/manifest.json
obj193,Ferranti Argus Page 9,Ferranti LTD,1961,60s,,brochure,ferranti_argus_1961_Page_09,,192,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj193/full/250,/0/default.jpg",/img/derivatives/iiif/obj193/manifest.json
obj194,Ferranti Argus Page 10,Ferranti LTD,1961,60s,,brochure,ferranti_argus_1961_Page_10,,193,qatar_item,temp_collection,"/img/derivatives/iiif/images/obj194/full/250,/0/default.jpg",/img/derivatives/iiif/obj194/manifest.json
